DatasetName|GroupName|DatasetAttributes|DatasetValue|Shape|Datatype
/AwakeEventData/AIRTR01/Acq/numericPosition|/AwakeEventData/AIRTR01/Acq|"{'exception': 'False', 'acqStamp': '1541974916209533000', 'comment': ""b'Marker laser delay stage in mm'""}"|30.0|(1,)|float32
/AwakeEventData/AIRTR02/Acq/numericPosition|/AwakeEventData/AIRTR02/Acq|"{'exception': 'False', 'acqStamp': '1541974916209533000', 'comment': ""b'Linear Translator in TCV4'""}"|45.0|(1,)|float32
/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue|/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback|"{'exception': 'False', 'acqStamp': '1541974907401000000', 'comment': ""b'SPS-AWAKE RF phase'""}"|5.09375|(1,)|float32
/AwakeEventData/BLMITT41/Acquisition/acqDesc|/AwakeEventData/BLMITT41/Acquisition||b'\x05'|(1,)|"|S1"
/AwakeEventData/BLMITT41/Acquisition/acqMsg|/AwakeEventData/BLMITT41/Acquisition||b'\x05'|(1,)|"|S1"
/AwakeEventData/BLMITT41/Acquisition/acqState|/AwakeEventData/BLMITT41/Acquisition||1|(1,)|int32
/AwakeEventData/BLMITT41/Acquisition/acqTime|/AwakeEventData/BLMITT41/Acquisition||0|(1,)|int32
/AwakeEventData/BLMITT41/Acquisition/alarmStatus|/AwakeEventData/BLMITT41/Acquisition|||(40,)|int16
/AwakeEventData/BLMITT41/Acquisition/blrSignalStatus|/AwakeEventData/BLMITT41/Acquisition|||(40,)|int16
/AwakeEventData/BLMITT41/Acquisition/calLosses|/AwakeEventData/BLMITT41/Acquisition|||(40,)|float32
/AwakeEventData/BLMITT41/Acquisition/calLosses_unit|/AwakeEventData/BLMITT41/Acquisition||b'GRAY'|(1,)|"|S4"
/AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent|/AwakeEventData/BLMITT41/Acquisition||0|(1,)|int32
/AwakeEventData/BLMITT41/Acquisition/calThresholds|/AwakeEventData/BLMITT41/Acquisition|||(40,)|float32
/AwakeEventData/BLMITT41/Acquisition/channelNames|/AwakeEventData/BLMITT41/Acquisition|||(15,)|"|S15"
/AwakeEventData/BLMITT41/Acquisition/deviceName|/AwakeEventData/BLMITT41/Acquisition||b'Dummy'|(1,)|"|S5"
/AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC|/AwakeEventData/BLMITT41/Acquisition|||(2,)|int32
/AwakeEventData/BLMITT41/Acquisition/measStamp|/AwakeEventData/BLMITT41/Acquisition||0|(1,)|int32
/AwakeEventData/BLMITT41/Acquisition/nbOfChannels|/AwakeEventData/BLMITT41/Acquisition||15|(1,)|int32
/AwakeEventData/BLMITT41/Acquisition/nbOfMeas|/AwakeEventData/BLMITT41/Acquisition||1|(1,)|int32
/AwakeEventData/BLMITT41/Acquisition/normLosses|/AwakeEventData/BLMITT41/Acquisition|||(40,)|float32
