DatasetName,GroupName,HDF5FileName,SingletonValue,DatasetSize,DatasetShape,DatasetDatatype
/AwakeEventData/AIRTR01/Acq/numericPosition,/AwakeEventData/AIRTR01/Acq,1541808518535000000_160_1.h5,67.5,1,"(1,)",float32
/AwakeEventData/AIRTR02/Acq/numericPosition,/AwakeEventData/AIRTR02/Acq,1541808518535000000_160_1.h5,30.0,1,"(1,)",float32
/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,1541808518535000000_160_1.h5,-23.75,1,"(1,)",float32
/AwakeEventData/BLMITT41/Acquisition/acqDesc,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,b'\x05',1,"(1,)",|S1
/AwakeEventData/BLMITT41/Acquisition/acqMsg,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,b'\x05',1,"(1,)",|S1
/AwakeEventData/BLMITT41/Acquisition/acqState,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,1,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/acqTime,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,0,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/alarmStatus,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,40,"(40,)",NA
/AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,40,"(40,)",NA
/AwakeEventData/BLMITT41/Acquisition/calLosses,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,40,"(40,)",NA
/AwakeEventData/BLMITT41/Acquisition/calLosses_unit,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,b'GRAY',1,"(1,)",|S4
/AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,0,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/calThresholds,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,40,"(40,)",NA
/AwakeEventData/BLMITT41/Acquisition/channelNames,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,15,"(15,)",NA
/AwakeEventData/BLMITT41/Acquisition/deviceName,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,b'Dummy',1,"(1,)",|S5
/AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,2,"(2,)",NA
/AwakeEventData/BLMITT41/Acquisition/measStamp,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,0,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/nbOfChannels,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,15,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/nbOfMeas,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,1,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/normLosses,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,40,"(40,)",NA
/AwakeEventData/BLMITT41/Acquisition/observables,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,0,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/rawLosses,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,40,"(40,)",NA
/AwakeEventData/BLMITT41/Acquisition/superCycleNb,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,17,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/totalGains,/AwakeEventData/BLMITT41/Acquisition,1541808518535000000_160_1.h5,NA,5,"(5,)",NA
