Group Name,Dataset Name,Dataset Size,Dataset Shape,Dataset Datatype
/AwakeEventData/AIRTR01/Acq,/AwakeEventData/AIRTR01/Acq/numericPosition,1,"(1,)",float32
/AwakeEventData/AIRTR02/Acq,/AwakeEventData/AIRTR02/Acq/numericPosition,1,"(1,)",float32
/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,1,"(1,)",float32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/acqDesc,1,"(1,)",|S1
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/acqMsg,1,"(1,)",|S1
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/acqState,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/acqTime,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/alarmStatus,40,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,40,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/calLosses,40,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/calLosses_unit,1,"(1,)",|S4
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/calThresholds,40,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/channelNames,15,"(15,)",|S15
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/deviceName,1,"(1,)",|S5
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,2,"(2,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/measStamp,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/nbOfChannels,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/nbOfMeas,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition,/AwakeEventData/BLMITT41/Acquisition/normLosses,40,"(40,)",float32
