DatasetName,GroupName,FileName,Size,Shape,Datatype
/AwakeEventData/AIRTR01/Acq/numericPosition,/AwakeEventData/AIRTR01/Acq,1541962108935000000_167_838.h5,1,"(1,)",float32
/AwakeEventData/AIRTR02/Acq/numericPosition,/AwakeEventData/AIRTR02/Acq,1541962108935000000_167_838.h5,1,"(1,)",float32
/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,1541962108935000000_167_838.h5,1,"(1,)",float32
/AwakeEventData/BLMITT41/Acquisition/acqDesc,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",|S1
/AwakeEventData/BLMITT41/Acquisition/acqMsg,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",|S1
/AwakeEventData/BLMITT41/Acquisition/acqState,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/acqTime,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/alarmStatus,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,40,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,40,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition/calLosses,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,40,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition/calLosses_unit,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",|S4
/AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/calThresholds,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,40,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition/channelNames,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,15,"(15,)",|S15
/AwakeEventData/BLMITT41/Acquisition/deviceName,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",|S5
/AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,2,"(2,)",int32
/AwakeEventData/BLMITT41/Acquisition/measStamp,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/nbOfChannels,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/nbOfMeas,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/normLosses,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,40,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition/observables,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/rawLosses,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,40,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition/superCycleNb,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/totalGains,/AwakeEventData/BLMITT41/Acquisition,1541962108935000000_167_838.h5,5,"(5,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,2048,"(2048,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,2211840,"(1080, 2048)",int16
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541962108935000000_167_838.h5,1,"(1,)",float64
